element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,cuisine,name,opening_hours,opening_hours:covid19,outdoor_seating,phone,website,geometry,opening_hours:signed,wheelchair,addr:country,addr:suburb,alt_name,email,beer_garden,toilets:wheelchair,contact:email,contact:phone,contact:website,access:covid19,brewery,cuisine:description,operator,takeaway:covid19,check_date,kitchen_hours,start_date,note,source:addr,source,addr:subdistrict,takeaway,kitchen,check_date:opening_hours,diet:vegan,diet:vegetarian,indoor_seating,smoking,toilets,fixme,delivery,description,contact:fax,microbrewery,note:en,reg_name,fax,toilets:access,internet_access,internet_access:fee,internet_access:ssid,level,created_by,drive_in,lunch,lunch:warm,old_name,alt_name:note,old_operator,bar,branch,brand,opening_hours:kitchen,website:menu,diet:halal,halal,shop,short_name,lastcheck,payment:contactless,payment:girocard,payment:mastercard,payment:visa,payment:cash,toilets:female,toilets:male,toilets:unisex,capacity,diet:gluten_free,payment:maestro,payment:mastercard:min_payment,payment:others,payment:visa:min_payment,air_conditioning,wifi,delivery:partner,drink:afri-cola,front_cooking,wheelchair:description,contact:facebook,FIXME,changing_table,changing_table:location,ref,table_service,toilets:disposal,operation,tourism,mapillary,survey:date,image,surveillance,reservation,wheelchair:description:de,todo,note:covid19,diet:kosher,drive_through,payment:credit_cards,payment:debit_cards,seating,payment:cryptocurrencies,payment:electronic_purses,ref:vatin,access,description:payment,payment:account_cards,official_name,changing_table:count,description:de,payment:cards,addr:housename,dog,max_level,min_level,wikidata,contact:mobile,name:zh,brand:wikidata,brand:wikipedia,kids_area,kids_area:fee,kids_area:outdoor,kids_area:supervised,loc_name,organic,smoking:outside,source:url,payment:american_express,running_sushi,name:note,name:de,buffet,self_service,designation,old_name_1,old_name_2,service_times,theme,brewery:wikidata,craft,delivery:covid19,description:covid19,payment:diners_club,old_name:1,addr:floor,contact:whatsapp,indoor,craft_beer,contact:instagram,payment:apple_pay,seats,opening_date,seats:indoor,seats:outdoor,drinking_water:refill,drinking_water:refill:network,drinking_water:refill:network:wikidata,sport,currency:EUR,currency:others,access:description,cocktails,happy_hours,lunch:menu,addr:place,breakfast,nodes,building,roof:colour,roof:levels,roof:shape,building:levels,source:outline,internet_access:operator,layer,indoor_slide,source:geometry,disused:amenity,roof:material,height,source:height,ele,building:part,room,capacity:indoor,capacity:outdoor,all_you_can_eat,all_you_can_eat:type,outdoor_seating:capacity,payment:credit_card,wood_oven,delivery:brand,level:ref
node,3671699548,,,,,restaurant,italian_pizza,Da Paolo,"Tu-Fr 11:00-14:00,17:00-22:30; Sa 17:00-22:30; Su 11:30-22:30; PH 13:30-22:15",,,+49 721 8247770,https://www.da-paolo-karlsruhe.de,POINT (8.3769527 48.9886705),,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Da Paolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3686793030,Karlsruhe,4c,76137,Ettlinger Straße,restaurant,sausage;regional,EXO,Mo-Su 10:00-18:00,,yes,,,POINT (8.4023042 49.000396),,yes,DE,Südstadt,,,,,exo@worka.de,+49 721 6807823-0,http://www.exo-karlsruhe.de/,,,,worKA gGmbH,,,,,,,,,yes,,,,,yes,,,,,Gastronomie im Exotenhaus,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3686979049,Karlsruhe,30,76133,Waldstraße,restaurant,burger;italian;regional,Charles Oxford,"Mo-Th 11:30-01:00, Fr-Sa 11:30-02:00",,yes,+49 721 92127550,https://www.charles-oxford.de/,POINT (8.3978086 49.0102878),,limited,DE,,,info@charles-oxford.de,,,reservierung@charles-oxford.de,,,,,,Charles Oxford Karlsruhe GmbH,,2022-08-24,,,,,,,yes,,,yes,yes,,outside,,,,,,,,,,,no,,,0,,,,,,,,yes,,,"Mo-Th 11:30-22:00, Fr-Sa 11:30-23:00",,,,,,,yes,yes,yes,yes,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,,,,oxfordkarlsruhe,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3708646405,Karlsruhe,18,76137,Baumeisterstraße,restaurant,greek,Akropolis,"Mo-Su 11:30-14:30, 17:00 - 1:00",,,+49 721 3841428,https://ka.stadtwiki.net/Akropolis-Ziegler,POINT (8.4064461 49.0038686),no,no,DE,,Ziegler Saal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,2 Stufen am Eingang.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3738160618,Karlsruhe,59,76137,Stuttgarter Straße,restaurant,,Big Mama‘s,12:00-22:00,,yes,+4972166050066,https://tcgwka.de/gaststaette,POINT (8.4230482 49.0020257),,,,,,gaststaette@tcgwka.de,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,Gaststätte T.C. Grün Weiss,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3756408396,Karlsruhe,19,76131,Gottesauer Straße,restaurant,vietnamese,VietAroma,Tu-Su 11:30-23:00,,yes,+49 1512 9793365,https://vietaroma.de/,POINT (8.4190274 49.0076464),,no,DE,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,yes,,,,,,,,,,,,,0,,,yes,,fiv5 friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3795417356,Karlsruhe,107,76137,Marienstraße,restaurant,sushi,Yuki's,"Tu-Su 11:00-14:30,17:00-22:00",,no,+49 721 91431935,,POINT (8.40858 48.9963415),,no,,,,yukisushi@web.de,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,yes,,,,,,,,,,,,,,,,Papa´s Heimservice;iKoi Sushi & Wok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hohe Stufe am Eingang,https://www.facebook.com/yukiskarlsruhe/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3796835663,,34,,Ludwig-Erhard-Allee,restaurant,sushi,Sushi Park,"Mo 17:00-22:00; Tu-Sa 11:30-14:30,17:00-22:00; Su off",,,,https://sushipark.de/,POINT (8.4226593 49.0032801),,yes,,,,info@sushi-park.net,,,,+49 721 66992535,,,,,,,2022-11-10,,2015-10,,,,,,,,no,yes,,,,,,,,,,,,,wlan,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3837477551,,,,,restaurant,,Bistro im Sauna-Paradies,,off,,,,POINT (8.445463 49.0254666),,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3877062577,Karlsruhe,42,76185,Bannwaldallee,restaurant,fast_food,Metro,"Mo-Fr 08:00-18:30; Sa 08:00-18:00; Su, Ph off",,,,https://www.metro.de/standorte/karlsruhe,POINT (8.3701931 48.9985686),,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3891889947,Karlsruhe,30,76133,Herrenstraße,restaurant,,Alte Bank,,,yes,+49 721 1832818,https://www.altebank.de/,POINT (8.3983995 49.0087526),,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3898760670,Karlsruhe,12-14,76133,Douglasstraße,restaurant,thai,Thai Foodland,"Mo-Fr 11:00-15:00,17:00-22:00; Sa,Su,PH 11:00-22:00",,,+49 721 92091029,https://thai-foodland.net/,POINT (8.3933251 49.0105365),,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,no,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3907971487,Karlsruhe,11-13,76133,Douglasstraße,restaurant,italian,Ristorante Rosa Bianca,"Mo-Sa 12:00-14:00, 18:00-22:00; Su off",,,+49 721 21296,http://www.rosabianca.de,POINT (8.3938131 49.0105664),no,,,,,,,,,,,,,,,,,,,Provides catering for weddings etc.,,,,no,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3934886978,Karlsruhe,5,76133,Hirschhof,restaurant,,Dom,"Tu-Th 12:00-14:30,18:00-01:00, Fr 12:00-14:30,18:00-02:00, Sa 12:00-02:00, Su,PH 02:00+ off",,yes,,,POINT (8.3926713 49.0106186),,,DE,,,,,,kontakt@dom-grill.com,+49 721 47050173,http://www.dom-grill.com/,,,,Valour GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3938570804,Karlsruhe,57,76135,Scheffelstraße,restaurant,,Restaurant Sein,"We-Fr 12:00-14:00,18:00-21:30; Sa-Su 18:00-21:30; Mo-Tu closed",,,+49 721 40244776,https://www.restaurant-sein.de/,POINT (8.3819344 49.0062297),,,DE,,,zugast@restaurant-sein.de,,,,,,,,,Thorsten Bender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/restaurant-sein-191024452919908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restaurantsein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3996888427,Karlsruhe,91,76185,Kaiserallee,restaurant,regional,BOBI´s Gourmet Restaurant & SpeiseBar Olivio Dalmacia,"Mo-Fr 11:30-15:00,18:00-23:00; Sa 18:00-23:00; Su 11:30-15:00",,,+49 721 985610,https://www.alleehotel-ka.de,POINT (8.3716415 49.0108839),,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3996898304,,,,,restaurant,italian,Tropea,"Mo-Fr 11:30-14:30,17:30-23:00; Sa 17:00-23:00; PH,Su 11:30-14:30,17:00-22:30",,yes,+49 721 96888654,http://tropea-karlsruhe.de/,POINT (8.4130151 49.0010405),,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,El Greco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3996898535,,,,,restaurant,,Karstadt Restaurant,"Mo-Sa 09:30-19:30; Su,PH off",,,,,POINT (8.4016349 49.0093463),,,,,LeBuffet,,,,,+49 721 9102596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,Karstadt Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4189776416,Karlsruhe,109,76137,Durlacher Allee,restaurant,,XXXL Mann Mobilia Restaurant,"Mo-Fr 10:00-18:30; Sa 09:00-18:30; Su,PH off",,,+49 721 6096503737,https://www.xxxlutz.de/c/xxxl-mann-mobilia-karlsruhe,POINT (8.4440768 49.0047032),,yes,DE,,,restaurant.kr@xxxlutz.de,,yes,,,,,,,,,2022-11-04,,,,,,,,,,,,,,,check name,,,,,,,,,wlan,no,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4225968392,Karlsruhe,14,76149,Moldaustraße,restaurant,italian,La Fattoria,"11:30-14:30,17:30-22:30; Tu closed",,,+49 721 705587,,POINT (8.3961862 49.0471284),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4228915793,,,,,restaurant,german,Gasthaus Rössle,"Mo, Tu, We-Su 10:00-00:00",,yes,+49 721 571610,,POINT (8.3513059 49.0007006),,,,,,,,,,,,,Hoepfner,,Rosi Hausner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4228915794,,,,,restaurant,german,Restaurant Künstlerkneipe,"We-Su 12:00-14:30,18:30-24:00",,yes,+49 721 16089957,http://www.kuenstlerkneipe.com/,POINT (8.3262496 49.0050787),,limited,,,,,,,,,,,,,,,2018-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4236644189,Karlsruhe,12,76133,Karl-Friedrich-Straße,restaurant,burger,Hans im Glück,Mo-Su 11:00+,,yes,,,POINT (8.4035606 49.0080302),,limited,DE,,,,,,kaiserhof@hansimglueck-burgergrill.de,+49 721 86428517,https://hansimglueck-burgergrill.de/standorte/karlsruhe-kaiserhof/,,,,,,,,,,,,,,,2021-11-28,yes,yes,yes,,,,,,,,,,,,no,,,,,,,,,,,,Karlsruhe,Hans im Glück,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,Q22569868,de:Hans im Glück (Restaurantkette),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-02,360,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4245057011,,,,,restaurant,greek,Le Grec,,,,,,POINT (8.4981012 49.0222938),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4246410043,Karlsruhe,59a,76133,Sophienstraße,restaurant,thai,Sabaidi Thai Food,"Tu-Fr 11:30-14:30,17:00-22:00; PH,Sa,Su 11:30-22:00",,yes,+49 721 47042529,http://sabaidithaifood.com/,POINT (8.3887987 49.0074151),,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4353981212,Karlsruhe,36a,76227,Brühlstraße,restaurant,greek,Meze Meze,"Mo, Tu, Th, Fr 10:30-14:30, 17:00-23:00; We, Su10:30-23:00; Sa off",,yes,,,POINT (8.4635698 48.9868564),,yes,DE,Durlach,,,,,,+49 721 60902527,http://www.tg-aue.de/unsereGaststaette/,,,,,,,,,,,,,,,,,,,,,,,Sportgaststätte der TG Aue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4399269412,,,,,restaurant,kebab;pizza,Best Pizza & Döner,"Mo-Fr 11:00-21:00; Sa off; PH,Su 00:00-21:00",,,,,POINT (8.4037362 48.9809021),,,,,,,,,,+49 721 15653615,,,,,,,,,,"Öffnungszeiten aufgrund Meldung Nr.2083661 und Survey geändert; Sa ist tatsächlich geschlossen, auch wenn etwas anderes dran steht.",,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4401532289,Karlsruhe,81a,76185,Durmersheimer Straße,restaurant,german;mediterranean,Gaststätte TSV Grünwinkel,"Mo off; Tu-Sa 11:30-14:30, 17:30-23:00; Su 11:30-23:00",,,+49 721 1831680,https://restaurant-tsv-gruenwinkel.metro.biz,POINT (8.3519274 49.000352),,,,,,Restaurant.tsv.gruenwinkel@gmail.com,,,,,,,Hatz,,Sashko Mitrov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4413801140,Karlsruhe,34,76133,Adlerstraße,restaurant,,Zum Kleinen Ketterer,"Tu-Fr 12:00-14:00, Mo-Fr 17:00-23:00, PH,Sa 17:00-23:00",,yes,+49 721 3540099,http://www.kleiner-ketterer.de/,POINT (8.4074981 49.0076068),,no,DE,,Kleiner Ketterer,,,,,,,,Ketterer,,Sean Kelly UG,,2022-12-06,,,,,,,,,,,yes,yes,no,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,https://www.facebook.com/KleinerKetterer,,,,,,,,,,,,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4438801472,Karlsruhe,3,76227,Am Zwinger,restaurant,italian,La Dolce Vita,"Su-Fr 12:00-14:00,18:00-22:00; Sa 18:00-22:00",,yes,+49 721 493333,http://www.la-dolcevita.de/,POINT (8.4710439 48.9986843),,no,DE,Durlach,,LaDolceVit@t-online.de,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4450190384,Karlsruhe,37,76227,Alte Weingartener Straße,restaurant,regional,Obermühle,We-Mo 12:00-22:00; Tu off,,yes,,,POINT (8.4782803 49.003237),,yes,DE,Durlach,,,,,obermuehle-restaurant@web.de,+49 721 9213444,http://www.restaurant-obermuehle.de/,,Rothaus,,Inge Weber,,2023-06-04,,,,,,,,,,,,yes,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4491409586,Karlsruhe,86,76185,Kaiserallee,restaurant,indian,Sangam,"Tu-Fr, Su, PH 11:00-14:00,17:00-23:00; Sa 17:00-23:00",,yes,+49 721 1611 9970,http://www.sangam-karlsruhe.de,POINT (8.3652882 49.0115884),,no,DE,,,,,,,,,,,,Claudia Calì & Familie,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4491410489,Karlsruhe,149,76185,Kaiserallee,restaurant,asian,MIU MIU China & Thai Food,Mo-Su 11:00-22:30,,,,,POINT (8.3656026 49.011175),,no,DE,,,,,,,+49 721 86006137,,,,,,,,,,,,,,,,,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4564147772,Karlsruhe,106,76137,Rüppurrer Straße,restaurant,,Süsse Marie Veganerie,"Mo,Tu off; We-Fr 12:00-15:00,17:00-21:30; Sa,Su 12:00-21:30",,yes,,http://suesse-marie.de/,POINT (8.4086995 48.9961552),,yes,,,,,,no,,,,,,,Buljan Dalibor,,,,,,,,,,,,only,yes,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Süsse Marie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Refill Deutschland,Q50302201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4643018210,,,,,restaurant,german;regional,Schützenhaus Mühlburg,Mo-Fr 17:00-23:00; Su 10:00-21:00; Sa off,,yes,,,POINT (8.3438931 49.0225327),,yes,,,,,,,schuetzenhaus@schuetzenhaus-muehlburg.de,+49 721 95974153,http://www.schützenhaus-mühlburg.de/,,,,Mathias Sambas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4682114192,,,,,restaurant,regional,Majolika,"Mo-Sa 12:00-14:00,18:00-22:00; Su 18:00-22:00",,,,,POINT (8.4024996 49.0034762),,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4694237588,Karlsruhe,32,76185,Yorckstraße,restaurant,asian;japanese,Maison Tom,Mo-Su 11:00-23:00,,yes,+49 721 855859,,POINT (8.3728239 49.0084363),,yes,,,,,,,,,https://www.maisontom.de,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,Corner - by Pub Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
